lift_from_model	lift_from_version	lift_from_node	lift_from_property	lift_from_concept	lift_from_conceptCode	lift_to_model	lift_to_version	lift_to_node	lift_to_property	lift_to_concept	lift_to_conceptCode	concept_relationship
CCDI	v2.0.0	clinical_measure_file	file_type	ADF	C172213	CDS	v5.0.2	file	file_type	ADF	C172213	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	AVI	C190162	CDS	v5.0.2	file	file_type	AVI	C190162	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	BAI	C190163	CDS	v5.0.2	file	file_type	BAI	C190163	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	BAM	C153249	CDS	v5.0.2	file	file_type	BAM	C153249	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	BED	C153367	CDS	v5.0.2	file	file_type	BED	C153367	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	bedgraph	C190165	CDS	v5.0.2	file	file_type	bedgraph	C190165	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	bigBed	C190166	CDS	v5.0.2	file	file_type	bigBed	C190166	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	bigWig	C190167	CDS	v5.0.2	file	file_type	bigWig	C190167	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	Binary Format	C190168	CDS	v5.0.2	file	file_type	Binary Format	C190168	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	BCR Biotab	C190164	CDS	v5.0.2	file	file_type	BCR Biotab	C190164	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	BIOM	C190169	CDS	v5.0.2	file	file_type	BIOM	C190169	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	CRAM	C190170	CDS	v5.0.2	file	file_type	CRAM	C190170	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	CSV	C182456	CDS	v5.0.2	file	file_type	CSV	C182456	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	DOCX	C190171	CDS	v5.0.2	file	file_type	DOCX	C190171	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	DSV	C190172	CDS	v5.0.2	file	file_type	DSV	C190172	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	FASTA	C47845	CDS	v5.0.2	file	file_type	FASTA	C47845	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	FASTQ	C172212	CDS	v5.0.2	file	file_type	FASTQ	C172212	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	FASTQ	C172212	CDS	v5.0.2	file	file_type	IDF	C172212	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	GCT/Res Format	C190173	CDS	v5.0.2	file	file_type	GCT/Res Format	C190173	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	DICOM	C49059	CDS	v5.0.2	file	file_type	DICOM	C49059	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	GenBank Format	C190174	CDS	v5.0.2	file	file_type	GenBank Format	C190174	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	GFF3	C190175	CDS	v5.0.2	file	file_type	GFF3	C190175	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	GPR	C190176	CDS	v5.0.2	file	file_type	GPR	C190176	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	GTF	C190177	CDS	v5.0.2	file	file_type	GTF	C190177	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	HDF5	C184763	CDS	v5.0.2	file	file_type	HDF5	C184763	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	HTML	C142380	CDS	v5.0.2	file	file_type	HTML	C142380	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	GZIP Format	C80220	CDS	v5.0.2	file	file_type	GZIP Format	C80220	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	MAGE-TAB	C82937	CDS	v5.0.2	file	file_type	MAGE-TAB	C82937	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	MAT	C190178	CDS	v5.0.2	file	file_type	MAT	C190178	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	MPEG-4	C190180	CDS	v5.0.2	file	file_type	MPEG-4	C190180	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	mzML	C190181	CDS	v5.0.2	file	file_type	mzML	C190181	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	mzXML	C47924	CDS	v5.0.2	file	file_type	mzXML	C47924	Concept Code Match
