lift_from_version	lift_from_property	lift_to_version	lift_to_property	lift_from_concept	lift_to_concept	concept_relationship
v5.0.0	Mouse	v5.0.2	Mouse	C14238	C14238	Concept Code Match
v5.0.0	Human	v5.0.2	Human	C14225	C14225	Concept Code Match
v5.0.0	Cell Line	v5.0.2	Cell Line	C16403	C16403	Concept Code Match
v5.0.0	Cell Line	v5.0.2	Cell Line	C16403	C16403	Concept Code Match
v5.0.0	Dog	v5.0.2	Dog	C14201	C14201	Concept Code Match
v5.0.0	Pediatric	v5.0.2	Pediatric	C39299	C39299	Concept Code Match
v5.0.0	Legal Adult	v5.0.2	Legal Adult	C52678	C52678	Concept Code Match
v5.0.0	Proteomics	v5.0.2	Proteomics	C20085	C20085	Concept Code Match
v5.0.0	Genomics	v5.0.2	Genomics	C84343	C84343	Concept Code Match
v5.0.0	Imaging Procedure	v5.0.2	Imaging Procedure	C17369	C17369	Concept Code Match
v5.0.0	Radiation Oncologist	v5.0.2	Radiation Oncologist	C17833	C17833	Concept Code Match
v5.0.0	Project Coordinator	v5.0.2	Project Coordinator	C51851	C51851	Concept Code Match
v5.0.0	Referring Pathologist	v5.0.2	Referring Pathologist	C51859	C51859	Concept Code Match
v5.0.0	Regulatory Contact	v5.0.2	Regulatory Contact	C51862	C51862	Concept Code Match
v5.0.0	Research Clinician	v5.0.2	Research Clinician	C51863	C51863	Concept Code Match
v5.0.0	Research Nurse	v5.0.2	Research Nurse	C51864	C51864	Concept Code Match
v5.0.0	Registrar	v5.0.2	Registrar	C25357	C25357	Concept Code Match
v5.0.0	Surgeon	v5.0.2	Surgeon	C18071	C18071	Concept Code Match
v5.0.0	Reviewing Radiologist	v5.0.2	Reviewing Radiologist	C51868	C51868	Concept Code Match
v5.0.0	Site Representative Investigator	v5.0.2	Site Representative Investigator	C51875	C51875	Concept Code Match
v5.0.0	Statistician	v5.0.2	Statistician	C51877	C51877	Concept Code Match
v5.0.0	Study Chair	v5.0.2	Study Chair	C51878	C51878	Concept Code Match
v5.0.0	Study Chair	v5.0.2	Study Chair	C51878	C51878	Concept Code Match
v5.0.0	Study Coordinator	v5.0.2	Study Coordinator	C51880	C51880	Concept Code Match
v5.0.0	Community Educator	v5.0.2	Community Educator	C51813	C51813	Concept Code Match
v5.0.0	Guardian	v5.0.2	Guardian	C51828	C51828	Concept Code Match
v5.0.0	Laboratory Director	v5.0.2	Laboratory Director	C51829	C51829	Concept Code Match
v5.0.0	Laboratory Technologist	v5.0.2	Laboratory Technologist	C51830	C51830	Concept Code Match
v5.0.0	Lead Drug Monitor	v5.0.2	Lead Drug Monitor	C51831	C51831	Concept Code Match
v5.0.0	Legal Representative of the Sponsor	v5.0.2	Legal Representative of the Sponsor	C51832	C51832	Concept Code Match
v5.0.0	Neuropathologist	v5.0.2	Neuropathologist	C51837	C51837	Concept Code Match
v5.0.0	Pharmaceutical Liaison	v5.0.2	Pharmaceutical Liaison	C51839	C51839	Concept Code Match
v5.0.0	Pharmacologist	v5.0.2	Pharmacologist	C51841	C51841	Concept Code Match
v5.0.0	Physicist	v5.0.2	Physicist	C53446	C53446	Concept Code Match
v5.0.0	Population Member	v5.0.2	Population Member	C51844	C51844	Concept Code Match
